"Piezo Voltage (V)";"Fast In 3 (V)";"Lock-In Out (V)";
54.199524;0.23501965;0.00011884089;
54.250267;0.23930927;0.00011601135;
54.301022;0.24321507;8.0170448e-06;
54.351765;0.24665636;1.2261362e-05;
54.402477;0.25037086;9.1017035e-05;
54.45322;0.25398362;0.00010610794;
54.503971;0.2569418;4.5744313e-05;
54.554722;0.25954917;0.00016599998;
54.605473;0.26206946;0.00014053407;
54.656216;0.26398972;2.9710223e-05;
54.706974;0.26595813;0.00011129544;
54.757671;0.26726905;9.5732939e-05;
54.808422;0.26864699;0.00012497157;
54.859173;0.26964989;4.8102265e-05;
54.909924;0.27040187;9.431817e-07;
54.960667;0.27124041;9.6676122e-05;
55.011425;0.27190405;1.9806816e-05;
55.062168;0.27221423;4.1028405e-05;
55.112865;0.2725046;7.168181e-05;
55.163624;0.27282822;6.8380672e-05;
55.214367;0.27303004;-4.5744313e-05;
55.265118;0.27313522;4.7159085e-07;
55.315868;0.27326414;2.5937497e-05;
55.366619;0.2731719;6.4136359e-05;
55.417362;0.27339548;-3.8198858e-05;
55.468075;0.27341628;3.9613631e-05;
55.518818;0.27340797;-2.216477e-05;
55.569569;0.27340773;-7.0738629e-06;
55.620319;0.27350092;-3.1596588e-05;
55.67107;0.2734701;3.9613631e-05;
55.721813;0.2733292;1.9806816e-05;
55.772572;0.27337322;-8.913067e-05;
55.823269;0.27328444;-2.8767043e-05;
55.87402;0.2731604;-2.4051133e-05;
55.92477;0.27328148;-0.00013770453;
55.975521;0.27315748;4.5744313e-05;
56.026264;0.27304521;-1.697727e-05;
56.077023;0.27291775;-8.3471583e-05;
56.127766;0.27314207;-7.1210219e-05;
56.178463;0.27296472;-5.7534085e-05;
56.229221;0.27271277;-1.4147726e-06;
56.279964;0.27277806;-4.8102265e-05;
56.330715;0.27260709;-2.8295451e-06;
56.381466;0.2725704;-2.3579541e-06;
56.432217;0.27243513;2.8295451e-06;
56.48296;0.27235952;4.2443176e-06;
56.533672;0.27215675;-5.1403404e-05;
56.584415;0.27212593;1.131818e-05;
56.635166;0.27191725;1.9806816e-05;
56.685917;0.27164575;-8.9602261e-05;
56.736668;0.27141115;5.1874995e-05;
56.787411;0.27103445;1.697727e-05;
56.838169;0.2709772;-8.4886351e-06;
56.888866;0.27053103;-3.914204e-05;
56.939617;0.27020127;-1.1789772e-05;
56.990368;0.26969197;-3.3011361e-06;
57.041119;0.26927662;-2.3579543e-05;
57.091862;0.26869786;-1.9335224e-05;
57.14262;0.26827392;2.782386e-05;
57.193363;0.26764673;1.6505679e-05;
57.244061;0.26691899;-2.8295452e-05;
57.294819;0.26650974;3.0181815e-05;
57.345562;0.26589993;-1.2732953e-05;
57.396313;0.26527321;0;
57.447063;0.26461348;-6.2721585e-05;
57.497814;0.26408485;2.216477e-05;
57.548557;0.26373458;9.4318166e-06;
57.59927;0.26351124;-3.1124997e-05;
57.650013;0.26304376;-2.9238632e-05;
57.700764;0.2631377;-7.0738628e-05;
57.751514;0.26386836;-0.00012449999;
57.802265;0.26390481;-0.00018863635;
57.853008;0.26277518;0.0004428238;
57.903767;0.26263747;-0.00012402839;
57.954464;0.2625193;-6.3664767e-05;
58.005215;0.26278177;-4.7159087e-05;
58.055965;0.26290092;-0.00014053407;
58.106716;0.26338086;-2.4051133e-05;
58.157459;0.26355991;-1.5090907e-05;
58.208218;0.26405844;-7.5926124e-05;
58.258961;0.26435882;-7.5454533e-05;
58.309658;0.2643916;3.8198858e-05;
58.360416;0.26476368;2.1221589e-05;
58.41116;0.2647512;3.6784088e-05;
58.46191;0.26475438;1.3676135e-05;
58.512661;0.26464087;1.7448861e-05;
58.563412;0.26451588;-2.4522724e-05;
